route_name,17,18,19,20,21
IL - Inside Loop,4,4,4,4,3
ML - Mesa Loop,6,6,4,2,2
OL - Outside Loop,4,4,3,2,2
R - Regents Express,6,5,3,3,3
S - SIO Shuttle,4,4,3,2,0
