trip_start_hour,hourly_service_frequency,estimated_headway_min,is_evening_hour
7,24,2.5,False
8,24,2.5,False
9,24,2.5,False
10,24,2.5,False
11,24,2.5,False
12,24,2.5,False
13,24,2.5,False
14,24,2.5,False
15,24,2.5,False
16,24,2.5,False
17,24,2.5,True
18,23,2.608695652173913,True
19,17,3.5294117647058822,True
20,13,4.615384615384615,True
21,10,6.0,True
22,1,60.0,False
